"","title","price","sold_at","username","bought_and_sold","designer","sold_price"
"68","Yeezy Blue Tint",198,"2019-03-11T23:43:46.321Z","mistaswish",24,"Yeezy Boost",135
"69","Ksubi Jeans Bundle",260,"2019-03-11T21:01:34.212Z","jimmiindigo",6,"Ksubi",274
"70","Final Drop! Rare Crew Neck",123,"2019-03-11T23:18:19.586Z","makarevich1995",34,"Stone Island",125
"71","Loiter Jacket- NWOT olive twill",200,"2019-03-12T01:25:33.729Z","carladkins",34,"Engineered Garments",188
"72","Rap A Lot T Shirt",29,"2019-03-11T21:28:36.770Z","Superdupereazy",16,"Supreme",30
"73","Kapital skeleton thermal pants",202,"2019-03-11T22:15:47.859Z","HALFDEAD616",48,"Kapital",190
"74","Rick Owens Drkshdw Crewneck Sweat NEW / L",171,"2019-03-12T01:07:23.261Z","key",37,"Rick Owens",145
"75","*NEED GONE*Selvedge Work Pants",283,"2019-03-12T00:15:02.811Z","artist",132,"Jakob Hetzer",200
"76","Supreme UNDERCOVER/Public Enemy White House Tee Royal",38,"2019-03-12T01:56:36.338Z","ejrokke",42,"Supreme",43
"77","CDG SHIRT Front Overlay Shirt",108,"2019-03-11T22:11:38.212Z","txdrip23",6,"Comme des Garcons",69
"78","Carhartt Air Force One - Cheap ! - IN HAND",72,"2019-03-11T23:43:03.867Z","zeplug",143,"Nike",70
"79","Bape Champion Mesh Basketball Shorts (Red)",70,"2019-03-12T02:00:30.145Z","JJS222",81,"Bape",85
"80","Guess X Asap Rocky Denim Jacket",171,"2019-03-11T21:38:07.516Z","OnyxArchive",1,"Guess",160
"81","Supreme Sweater",80,"2019-03-12T00:56:24.881Z","mhamilfun",37,"Supreme",70
"82","“Supreme” Logo Velvet Red",129,"2019-03-12T01:42:02.328Z","xluan2314",37,"Supreme",120
"83","Supreme Box Logo Green IN HAND READY TO SHIP",800,"2019-03-11T22:13:46.684Z","stefanovich900",19,"Supreme",500
"84","Allsaints Bodell Coat M/38R",270,"2019-03-11T22:07:50.681Z","aprouillard",4,"Allsaints",240
"85","Supreme S logo Hoodie Red Colorblock",144,"2019-03-11T21:20:00.278Z","bapestasondafeets",2,"Supreme",152
"86","CDG Play Tee",55,"2019-03-11T20:37:09.143Z","cleanConsignment",120,"Comme Des Garcons Play",45
"87","Air Jordan 3 Katrina",150,"2019-03-11T20:19:41.161Z","febreezy",110,"Jordan Brand",100
"88","Supreme Lighter Holder",50,"2019-03-11T20:38:17.296Z","JeffLaNoue",1,"Supreme",40
"89","I Feel like kobe Kanye West tshirt size large",45,"2019-03-11T23:55:01.127Z","colectionny",42,"Kanye West",50
"90","Supreme Creeper SS19 Size M",75,"2019-03-11T20:28:45.887Z","dmoney92",1,"Supreme",70
"91","Air Jordan 13 Bred 2013",100,"2019-03-12T01:56:44.610Z","saltyplantains",12,"Jordan Brand",71
"92","Nike Air Fear Of God 1 Blk",475,"2019-03-11T21:36:54.736Z","Rosebeef",142,"Nike",425
"93","Rhude Boys Limited Online Release Tee",135,"2019-03-11T20:13:41.704Z","oktravis",7,"Rhude",115
"94","Kapital Skeleton Oversized Tee",351,"2019-03-12T02:08:47.714Z","rodcastillo11",326,"Kapital",300
"95","Chitch - Wolfgang Trashed - Black",116,"2019-03-11T20:03:45.450Z","thatsright",196,"Ksubi",130
"96","Supreme Connect Logo Crewneck",137,"2019-03-11T20:49:48.544Z","eddieo28",6,"Supreme",135
"97","Classic Off-White Box Logo Tee",245,"2019-03-11T23:35:15.225Z","BoDiEd-Fitz",9,"Off-White",225
"98","SS 1999 Prada Tote Bag",100,"2019-03-11T22:30:58.804Z","zoeb908",8,"Prada",88
"99","Supreme FW15 Fleece Neck Warmer Gaiter - Navy",38,"2019-03-11T19:55:34.475Z","jongarcia_26",380,"Supreme",48
"100","Air Jordan grape V 2006",64,"2019-03-11T23:19:39.413Z","cheapsuits",33,"Jordan Brand",50
"101","Supreme spiderweb hoodie",225,"2019-03-11T19:51:35.048Z","aip",37,"Supreme",180
"102","Abstract Camo Sweater",343,"2019-03-11T20:25:02.319Z","loganducsay",24,"Dries Van Noten",353
"103","FTP All Over Logo Wallet in package",97,"2019-03-11T19:48:23.360Z","kennysoutr",9,"Fuck The Population",100
